scene,frame,style,method,cosine_sim
scene_102,00000030,watercolor,stylized,0.913574
scene_102,00000030,watercolor,destylized_controlnet,0.835449
scene_102,00000030,oil_painting,stylized,0.868164
scene_102,00000030,oil_painting,destylized_controlnet,0.888184
scene_102,00000030,impressionism,stylized,0.897461
scene_102,00000030,impressionism,destylized_controlnet,0.560059
scene_102,00000030,engraving,stylized,0.82373
scene_102,00000030,engraving,destylized_controlnet,0.776367
scene_102,00000035,watercolor,stylized,0.818848
scene_102,00000035,watercolor,destylized_controlnet,0.740234
scene_102,00000035,oil_painting,stylized,0.896973
scene_102,00000035,oil_painting,destylized_controlnet,0.80127
scene_102,00000035,impressionism,stylized,0.719238
scene_102,00000035,impressionism,destylized_controlnet,0.686035
scene_102,00000035,engraving,stylized,0.779785
scene_102,00000035,engraving,destylized_controlnet,0.57373
scene_102,00000040,watercolor,stylized,0.828613
scene_102,00000040,watercolor,destylized_controlnet,0.395996
scene_102,00000040,oil_painting,stylized,0.949707
scene_102,00000040,oil_painting,destylized_controlnet,0.938965
scene_102,00000040,impressionism,stylized,0.870605
scene_102,00000040,impressionism,destylized_controlnet,0.59082
scene_102,00000040,engraving,stylized,0.754883
scene_102,00000040,engraving,destylized_controlnet,0.754883
scene_102,00000045,watercolor,stylized,0.880859
scene_102,00000045,watercolor,destylized_controlnet,0.806152
scene_102,00000045,oil_painting,stylized,0.869141
scene_102,00000045,oil_painting,destylized_controlnet,0.869629
scene_102,00000045,impressionism,stylized,0.885254
scene_102,00000045,impressionism,destylized_controlnet,0.915527
scene_102,00000045,engraving,stylized,0.681641
scene_102,00000045,engraving,destylized_controlnet,0.724609
scene_102,00000050,watercolor,stylized,0.922852
scene_102,00000050,watercolor,destylized_controlnet,0.902832
scene_102,00000050,oil_painting,stylized,0.910156
scene_102,00000050,oil_painting,destylized_controlnet,0.908691
scene_102,00000050,impressionism,stylized,0.907715
scene_102,00000050,impressionism,destylized_controlnet,0.917969
scene_102,00000050,engraving,stylized,0.805664
scene_102,00000050,engraving,destylized_controlnet,0.845215
scene_102,00000055,watercolor,stylized,0.845215
scene_102,00000055,watercolor,destylized_controlnet,0.810059
scene_102,00000055,oil_painting,stylized,0.947754
scene_102,00000055,oil_painting,destylized_controlnet,0.874512
scene_102,00000055,impressionism,stylized,0.793457
scene_102,00000055,impressionism,destylized_controlnet,0.338135
scene_102,00000055,engraving,stylized,0.479492
scene_102,00000055,engraving,destylized_controlnet,0.283203
scene_102,00000060,watercolor,stylized,0.821777
scene_102,00000060,watercolor,destylized_controlnet,0.751953
scene_102,00000060,oil_painting,stylized,0.882324
scene_102,00000060,oil_painting,destylized_controlnet,0.803711
scene_102,00000060,impressionism,stylized,0.79541
scene_102,00000060,impressionism,destylized_controlnet,0.696289
scene_102,00000060,engraving,stylized,0.617188
scene_102,00000060,engraving,destylized_controlnet,0.268311
scene_102,00000065,watercolor,stylized,0.901367
scene_102,00000065,watercolor,destylized_controlnet,0.836426
scene_102,00000065,oil_painting,stylized,0.866211
scene_102,00000065,oil_painting,destylized_controlnet,0.857422
scene_102,00000065,impressionism,stylized,0.859375
scene_102,00000065,impressionism,destylized_controlnet,0.725098
scene_102,00000065,engraving,stylized,0.685059
scene_102,00000065,engraving,destylized_controlnet,0.76123
scene_102,00000070,watercolor,stylized,0.904297
scene_102,00000070,watercolor,destylized_controlnet,0.845703
scene_102,00000070,oil_painting,stylized,0.914551
scene_102,00000070,oil_painting,destylized_controlnet,0.92041
scene_102,00000070,impressionism,stylized,0.87207
scene_102,00000070,impressionism,destylized_controlnet,0.842285
scene_102,00000070,engraving,stylized,0.650391
scene_102,00000070,engraving,destylized_controlnet,0.708984
scene_102,00000075,watercolor,stylized,0.906738
scene_102,00000075,watercolor,destylized_controlnet,0.694824
scene_102,00000075,oil_painting,stylized,0.934082
scene_102,00000075,oil_painting,destylized_controlnet,0.869629
scene_102,00000075,impressionism,stylized,0.85498
scene_102,00000075,impressionism,destylized_controlnet,0.46875
scene_102,00000075,engraving,stylized,0.650879
scene_102,00000075,engraving,destylized_controlnet,0.556641
scene_102,00000080,watercolor,stylized,0.853027
scene_102,00000080,watercolor,destylized_controlnet,0.719727
scene_102,00000080,oil_painting,stylized,0.851562
scene_102,00000080,oil_painting,destylized_controlnet,0.864746
scene_102,00000080,impressionism,stylized,0.808594
scene_102,00000080,impressionism,destylized_controlnet,0.477783
scene_102,00000080,engraving,stylized,0.443115
scene_102,00000080,engraving,destylized_controlnet,0.643555
scene_102,00000085,watercolor,stylized,0.69873
scene_102,00000085,watercolor,destylized_controlnet,0.620605
scene_102,00000085,oil_painting,stylized,0.814453
scene_102,00000085,oil_painting,destylized_controlnet,0.750488
scene_102,00000085,impressionism,stylized,0.567871
scene_102,00000085,impressionism,destylized_controlnet,0.432373
scene_102,00000085,engraving,stylized,0.51709
scene_102,00000085,engraving,destylized_controlnet,0.584961
scene_103,00000000,watercolor,stylized,0.467773
scene_103,00000000,watercolor,destylized_controlnet,0.47168
scene_103,00000000,oil_painting,stylized,0.628906
scene_103,00000000,oil_painting,destylized_controlnet,0.577637
scene_103,00000000,impressionism,stylized,0.54541
scene_103,00000000,impressionism,destylized_controlnet,0.510742
scene_103,00000000,engraving,stylized,0.560547
scene_103,00000000,engraving,destylized_controlnet,0.494629
scene_103,00000005,watercolor,stylized,0.576172
scene_103,00000005,watercolor,destylized_controlnet,0.509277
scene_103,00000005,oil_painting,stylized,0.833496
scene_103,00000005,oil_painting,destylized_controlnet,0.635254
scene_103,00000005,impressionism,stylized,0.504883
scene_103,00000005,impressionism,destylized_controlnet,0.396729
scene_103,00000005,engraving,stylized,0.499756
scene_103,00000005,engraving,destylized_controlnet,0.430664
scene_103,00000010,watercolor,stylized,0.626465
scene_103,00000010,watercolor,destylized_controlnet,0.712402
scene_103,00000010,oil_painting,stylized,0.646973
scene_103,00000010,oil_painting,destylized_controlnet,0.541016
scene_103,00000010,impressionism,stylized,0.647461
scene_103,00000010,impressionism,destylized_controlnet,0.704102
scene_103,00000010,engraving,stylized,0.404541
scene_103,00000010,engraving,destylized_controlnet,0.399902
scene_103,00000015,watercolor,stylized,0.60791
scene_103,00000015,watercolor,destylized_controlnet,0.56543
scene_103,00000015,oil_painting,stylized,0.900391
scene_103,00000015,oil_painting,destylized_controlnet,0.72998
scene_103,00000015,impressionism,stylized,0.555664
scene_103,00000015,impressionism,destylized_controlnet,0.462646
scene_103,00000015,engraving,stylized,0.677246
scene_103,00000015,engraving,destylized_controlnet,0.552246
scene_103,00000020,watercolor,stylized,0.55957
scene_103,00000020,watercolor,destylized_controlnet,0.54248
scene_103,00000020,oil_painting,stylized,0.678223
scene_103,00000020,oil_painting,destylized_controlnet,0.66748
scene_103,00000020,impressionism,stylized,0.65625
scene_103,00000020,impressionism,destylized_controlnet,0.592773
scene_103,00000020,engraving,stylized,0.552734
scene_103,00000020,engraving,destylized_controlnet,0.578613
scene_103,00000025,watercolor,stylized,0.803223
scene_103,00000025,watercolor,destylized_controlnet,0.394531
scene_103,00000025,oil_painting,stylized,0.762207
scene_103,00000025,oil_painting,destylized_controlnet,0.590332
scene_103,00000025,impressionism,stylized,0.404785
scene_103,00000025,impressionism,destylized_controlnet,0.272217
scene_103,00000025,engraving,stylized,0.648926
scene_103,00000025,engraving,destylized_controlnet,0.45459
scene_103,00000030,watercolor,stylized,0.512695
scene_103,00000030,watercolor,destylized_controlnet,0.449951
scene_103,00000030,oil_painting,stylized,0.73877
scene_103,00000030,oil_painting,destylized_controlnet,0.67627
scene_103,00000030,impressionism,stylized,0.600586
scene_103,00000030,impressionism,destylized_controlnet,0.618652
scene_103,00000030,engraving,stylized,0.615234
scene_103,00000030,engraving,destylized_controlnet,0.558594
scene_103,00000035,watercolor,stylized,0.59375
